"ID","price"
15035,344285.539541368
15036,340072.79169371
15037,1124406.87951799
15038,221955.006128263
15039,205376.697864614
15040,220510.781393874
15041,322709.440561487
15042,410271.76757228
15043,219337.934966622
15044,214264.072050645
15045,406968.370756841
15046,156083.177436172
15047,381383.960373699
15048,323488.06942394
15049,692454.515187663
15050,157287.316755043
15051,322116.878972211
15052,348752.266813834
15053,582387.023872626
15054,256733.932759384
15055,321792.785992101
15056,384749.004387481
15057,808179.639485053
15058,244208.517260388
15059,285357.309486457
15060,272850.219101759
15061,249633.457622764
15062,324462.374188778
15063,224596.625097779
15064,358784.552624566
15065,532580.510928037
15066,206327.573071382
15067,369819.437971053
15068,756824.123690673
15069,262396.098684509
15070,332558.165831731
15071,335151.670204478
15072,305813.426018285
15073,253154.052762583
15074,271220.202685681
15075,476314.563742569
15076,780812.752468195
15077,251603.371926435
15078,150250.687767721
15079,585003.87593956
15080,306906.109801823
15081,352837.810078634
15082,437127.291382073
15083,189597.492424422
15084,356999.298395395
15085,581061.078074315
15086,311035.688746636
15087,202010.190470859
15088,324605.916517266
15089,159434.983207415
15090,263986.536349853
15091,213000.799986011
15092,165276.435274299
15093,303507.035381685
15094,216600.539442602
15095,170585.542846237
15096,312041.102278497
15097,507065.928037391
15098,329573.888399879
15099,167795.234482636
15100,292853.551043795
15101,135501.49632043
15102,259564.373702228
15103,485489.329554679
15104,295338.163647557
15105,227787.365558317
15106,301467.336387417
15107,328354.946715206
15108,249753.996689074
15109,228935.834766027
15110,172482.337122676
15111,393915.047805083
15112,310041.107322804
15113,231864.332711024
15114,173842.164522801
15115,257288.73163628
15116,255216.86982746
15117,212639.907676513
15118,321507.71625792
15119,397020.607633005
15120,282166.643610725
15121,163950.438764204
15122,194551.299035658
15123,511702.205207278
15124,366315.036034053
15125,340635.405527767
15126,235740.607801052
15127,449834.935130115
15128,323630.868980044
15129,153134.876934172
15130,151452.123334789
15131,186614.459675303
15132,477972.291141769
15133,661309.725432489
15134,325961.221999097
15135,422275.277464751
15136,170993.554333344
15137,411119.34639314
15138,201453.418335121
15139,274041.791904011
15140,386792.159581414
15141,254880.686239079
15142,267424.69663064
15143,399231.834961353
15144,377256.378476938
15145,312083.375905049
15146,383965.957882799
15147,192280.940356872
15148,168887.912841239
15149,306785.786814695
15150,313294.870791798
15151,286069.342573353
15152,201634.097833046
15153,255917.582327362
15154,721036.11844069
15155,141819.910357955
15156,280482.697502145
15157,240772.488656742
15158,241977.514224861
15159,209074.009291429
15160,314689.739699955
15161,826424.955015185
15162,275097.513202541
15163,252454.890965083
15164,417565.437606577
15165,407120.480481555
15166,611241.006305643
15167,384085.368071494
15168,501756.884727652
15169,424528.533761446
15170,147380.975473839
15171,349854.491863228
15172,166743.002548637
15173,398532.853104076
15174,151122.703998898
15175,163424.066131987
15176,346143.993753341
15177,198669.135422997
15178,256523.223443641
15179,659238.884436777
15180,490103.464434665
15181,205984.558257831
15182,499885.811970778
15183,184035.339636753
15184,300642.341903196
15185,245698.858834646
15186,708021.38799469
15187,258336.256302463
15188,346125.374467406
15189,234490.394078799
15190,411290.982386801
15191,166321.960148018
15192,270583.053680932
15193,323553.884318713
15194,175990.269779105
15195,197881.081978877
15196,349092.479058706
15197,362492.390091596
15198,252069.314954192
15199,239522.507429464
15200,179483.17094605
15201,399962.247951273
15202,267372.844711817
15203,137015.156027504
15204,162717.704727575
15205,277402.660857065
15206,851317.67089287
15207,302405.306840663
15208,192978.106006719
15209,239392.900907218
15210,231985.02395001
15211,234497.47676473
15212,455837.110629975
15213,349613.305073543
15214,208272.688843843
15215,285407.166778695
15216,190232.209853726
15217,161110.484885685
15218,307375.831833486
15219,251553.549376132
15220,252469.883494124
15221,476502.302055555
15222,190470.4626047
15223,294558.918981959
15224,393117.168829377
15225,277041.140205081
15226,153326.561641501
15227,340926.301771693
15228,326684.991097681
15229,366361.082005019
15230,249696.865642098
15231,191433.601321881
15232,296780.534466265
15233,345163.776023498
15234,780969.467037034
15235,274223.522169877
15236,244570.771874075
15237,199234.136629618
15238,455788.968274828
15239,382042.355390766
15240,304692.461021142
15241,235835.874922704
15242,345201.599481216
15243,203622.085600204
15244,458010.098343512
15245,270125.690924994
15246,343108.032658108
15247,226395.766884941
15248,396103.917613549
15249,228365.506352319
15250,1278636.66116777
15251,269195.039061399
15252,415701.616439637
15253,272533.573501997
15254,280836.944527387
15255,227344.469043517
15256,225567.965208136
15257,220638.369338355
15258,384983.690162133
15259,160661.314249836
15260,374065.705665203
15261,180885.462549832
15262,291330.404280069
15263,225927.040194495
15264,276127.157569726
15265,616933.347621939
15266,256764.323126872
15267,313276.328084921
15268,259809.669273564
15269,351462.459893783
15270,489448.190957088
15271,676648.706748095
15272,189768.20514663
15273,180918.690159433
15274,374672.56041985
15275,253987.871771983
15276,316976.9415941
15277,166691.159828689
15278,780400.858818175
15279,183987.989431363
15280,367120.270281009
15281,692857.075529082
15282,255183.463051691
15283,163987.952661297
15284,734278.059708211
15285,663531.063974905
15286,317608.042119516
15287,413654.34552431
15288,380011.54602427
15289,437786.963919554
15290,240548.132100666
15291,312100.557603944
15292,315527.551468223
15293,310242.000370995
15294,475127.177498903
15295,262476.306694645
15296,144145.236000523
15297,155924.370628374
15298,513190.845274283
15299,248883.748081559
15300,202467.741225064
15301,260891.615365609
15302,154776.189005627
15303,318801.849260787
15304,461874.697207004
15305,161620.238668113
15306,297556.650461581
15307,369699.22195965
15308,355133.800936791
15309,202880.463695716
15310,241341.780489137
15311,354004.651674589
15312,301739.83388331
